,lm_0_x,lm_0_y,lm_0_z,lm_0_vis,lm_1_x,lm_1_y,lm_1_z,lm_1_vis,lm_2_x,lm_2_y,lm_2_z,lm_2_vis,lm_3_x,lm_3_y,lm_3_z,lm_3_vis,lm_4_x,lm_4_y,lm_4_z,lm_4_vis,lm_5_x,lm_5_y,lm_5_z,lm_5_vis,lm_6_x,lm_6_y,lm_6_z,lm_6_vis,lm_7_x,lm_7_y,lm_7_z,lm_7_vis,lm_8_x,lm_8_y,lm_8_z,lm_8_vis,lm_9_x,lm_9_y,lm_9_z,lm_9_vis,lm_10_x,lm_10_y,lm_10_z,lm_10_vis,lm_11_x,lm_11_y,lm_11_z,lm_11_vis,lm_12_x,lm_12_y,lm_12_z,lm_12_vis,lm_13_x,lm_13_y,lm_13_z,lm_13_vis,lm_14_x,lm_14_y,lm_14_z,lm_14_vis,lm_15_x,lm_15_y,lm_15_z,lm_15_vis,lm_16_x,lm_16_y,lm_16_z,lm_16_vis,lm_17_x,lm_17_y,lm_17_z,lm_17_vis,lm_18_x,lm_18_y,lm_18_z,lm_18_vis,lm_19_x,lm_19_y,lm_19_z,lm_19_vis,lm_20_x,lm_20_y,lm_20_z,lm_20_vis,lm_21_x,lm_21_y,lm_21_z,lm_21_vis,lm_22_x,lm_22_y,lm_22_z,lm_22_vis,lm_23_x,lm_23_y,lm_23_z,lm_23_vis,lm_24_x,lm_24_y,lm_24_z,lm_24_vis,lm_25_x,lm_25_y,lm_25_z,lm_25_vis,lm_26_x,lm_26_y,lm_26_z,lm_26_vis,lm_27_x,lm_27_y,lm_27_z,lm_27_vis,lm_28_x,lm_28_y,lm_28_z,lm_28_vis,lm_29_x,lm_29_y,lm_29_z,lm_29_vis,lm_30_x,lm_30_y,lm_30_z,lm_30_vis,lm_31_x,lm_31_y,lm_31_z,lm_31_vis,lm_32_x,lm_32_y,lm_32_z,lm_32_vis
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.897519112,0.505243361,-0.236866325,0.99999392,0.90934521,0.490868926,-0.211713478,0.999985337,0.909923077,0.492573559,-0.21171096,0.999981999,0.910487235,0.494020611,-0.211754799,0.999981165,0.905291021,0.480289668,-0.234273657,0.999989986,0.902833223,0.474694997,-0.234311223,0.999992847,0.899668276,0.468109667,-0.234184846,0.999993801,0.897904992,0.482692152,-0.059120752,0.999943852,0.880929351,0.452090383,-0.157292545,0.999988675,0.879130244,0.518361926,-0.174040064,0.999944091,0.873519063,0.508917034,-0.202298582,0.999965787,0.763741374,0.486355305,0.14961116,0.99815011,0.803416908,0.528253257,-0.218322098,0.999882579,0.726396739,0.645307541,0.194991916,0.188233331,0.78753674,0.717440784,-0.229871273,0.995711207,0.734562814,0.741612792,0.118227758,0.263513058,0.790159285,0.896501422,-0.173305526,0.987182856,0.754527867,0.742577553,0.117157429,0.294565201,0.820839345,0.911700845,-0.219806597,0.976292193,0.759771526,0.741979599,0.080717057,0.296300322,0.825409472,0.901201963,-0.182336465,0.972491562,0.754040599,0.742836893,0.100493968,0.291319251,0.813006401,0.897064507,-0.15878056,0.961881697,0.539080083,0.582853556,0.101060219,0.9912135,0.552100658,0.634806693,-0.10120026,0.99659121,0.376420856,0.688334227,0.181002498,0.374906212,0.375134408,0.738123953,-0.014916987,0.930690885,0.226401374,0.734062731,0.278880805,0.574342072,0.216316089,0.768666029,0.059948776,0.958007991,0.182718724,0.725565553,0.286483437,0.681766093,0.170157015,0.760381222,0.063316882,0.959908545,0.213394985,0.807752848,0.244027302,0.689608157,0.233910084,0.821002483,0.002628818,0.927576542
2,0.898341656,0.505290627,-0.233588845,0.999993622,0.910356462,0.490861446,-0.209139526,0.999984741,0.911004245,0.492550015,-0.209157363,0.999981225,0.911576509,0.493980229,-0.209232926,0.999980509,0.905973494,0.480241865,-0.231444016,0.99998951,0.90328145,0.474600762,-0.231463552,0.999992371,0.899898052,0.46795398,-0.231327891,0.999993384,0.898525,0.482416421,-0.058818851,0.999942541,0.881167889,0.451680601,-0.15613845,0.999988139,0.880446672,0.518361509,-0.171597391,0.999942005,0.874190748,0.508822858,-0.19944413,0.999963999,0.767395258,0.486390412,0.148444131,0.99819535,0.807044446,0.525654733,-0.217808247,0.99988097,0.732207179,0.642577767,0.184953734,0.18827568,0.789470732,0.716610193,-0.227895305,0.995608985,0.734842777,0.74663353,0.096611992,0.260719597,0.789953053,0.893955648,-0.173391804,0.986474991,0.754978895,0.746779382,0.09096086,0.290885836,0.819590867,0.91086787,-0.219874978,0.974940836,0.761416495,0.744908869,0.054722417,0.292559803,0.824555933,0.901156366,-0.183177233,0.971004009,0.754888535,0.747225702,0.078102402,0.288234055,0.811912835,0.896592975,-0.159175187,0.959887505,0.540188134,0.579727769,0.098027207,0.990851343,0.553924024,0.628687203,-0.098151952,0.996297657,0.380705684,0.688382149,0.175575495,0.366135448,0.376858026,0.728994668,-0.016088195,0.921973288,0.227692798,0.735812843,0.269202709,0.558676422,0.219130069,0.767086029,0.059710752,0.950251579,0.187553123,0.726755023,0.276394755,0.6698699,0.177692011,0.75446099,0.063298449,0.953224123,0.219679967,0.800542235,0.234493732,0.674028337,0.228483677,0.817018449,0.002647106,0.917633295
3,0.892137229,0.503792048,-0.243460208,0.999993801,0.904628992,0.489898413,-0.217543617,0.999985099,0.905409634,0.491714388,-0.217534155,0.999981701,0.90621531,0.493263721,-0.217591837,0.999980927,0.90031302,0.479145169,-0.239021331,0.999989748,0.8976776,0.473199487,-0.23903814,0.999992549,0.894302249,0.466388673,-0.238885492,0.999993503,0.893646359,0.482127815,-0.061750628,0.999943972,0.875663579,0.449843466,-0.156444609,0.999988437,0.873882473,0.517102718,-0.179229245,0.999943197,0.867919624,0.507129014,-0.2058855,0.999964654,0.765491545,0.484683514,0.148836002,0.998231292,0.803459108,0.524288893,-0.218335703,0.999883056,0.731915832,0.642600596,0.185871348,0.188920066,0.788152218,0.715789735,-0.233461916,0.995637178,0.735920131,0.753377676,0.095961906,0.261645108,0.790022552,0.893974423,-0.190336555,0.986288905,0.756274402,0.74951452,0.091544792,0.291309536,0.819902778,0.910869539,-0.238336608,0.974540412,0.762961864,0.746566713,0.055558994,0.29282856,0.824803293,0.901464939,-0.201063633,0.97053051,0.756184518,0.750159979,0.077621222,0.288853139,0.812106729,0.896817923,-0.176149055,0.959229708,0.537291229,0.578715265,0.099114716,0.990819633,0.54932487,0.628719032,-0.099249072,0.996280074,0.38061589,0.683045805,0.181279898,0.360535681,0.374859661,0.728345752,-0.016080489,0.921833217,0.225930303,0.733359873,0.275041848,0.554173529,0.216825813,0.764406145,0.059709854,0.949739993,0.187356904,0.723695934,0.282358408,0.668234587,0.176942959,0.748365462,0.063298188,0.952826142,0.22039713,0.803531587,0.243730292,0.670037806,0.223526403,0.838263094,0.003086227,0.916528881
4,0.879671514,0.500895679,-0.254705936,0.999994099,0.891322434,0.486947328,-0.228337094,0.999985695,0.891973495,0.48913005,-0.22831507,0.999982357,0.892753482,0.491222173,-0.228360623,0.999981582,0.88689369,0.475438863,-0.248310342,0.999990165,0.884339988,0.469598442,-0.248324588,0.999992847,0.881308377,0.463300467,-0.248168647,0.999993742,0.881269515,0.481452972,-0.072113253,0.999945939,0.864413857,0.448220998,-0.159181774,0.999988794,0.861918151,0.515245318,-0.190885276,0.999945223,0.856768012,0.504840374,-0.215513512,0.999965787,0.754594803,0.48484388,0.139871478,0.998261571,0.788184881,0.52424866,-0.218580291,0.999882817,0.723103464,0.645674586,0.172183037,0.193906307,0.781134665,0.715818048,-0.234706953,0.995695055,0.741810441,0.752585053,0.076620072,0.26509726,0.790024161,0.894226193,-0.190269887,0.986232042,0.759808123,0.74927938,0.071815237,0.293328434,0.820506334,0.911438942,-0.237279534,0.974247396,0.765771866,0.745243967,0.037380677,0.294482023,0.825376689,0.902212858,-0.19983311,0.970150173,0.759125113,0.749323905,0.058993198,0.290879309,0.812779248,0.897481203,-0.175912887,0.958680451,0.529498518,0.575753212,0.098120578,0.990610421,0.540781796,0.626094759,-0.098268062,0.996213853,0.369624496,0.677303493,0.17759715,0.364720702,0.364337623,0.727384865,-0.020246739,0.923348427,0.215381041,0.731805682,0.266730964,0.560639203,0.20698379,0.764158785,0.049355041,0.950849533,0.174581826,0.723731875,0.272766411,0.672888398,0.160749733,0.749031425,0.051753037,0.952874243,0.216076985,0.803747058,0.230377659,0.674497306,0.208879054,0.839251161,-0.010776579,0.917986929
5,0.881199837,0.502151072,-0.25272736,0.999994397,0.89356041,0.488050789,-0.226946235,0.999986351,0.894270003,0.490044147,-0.226921812,0.999983191,0.895064473,0.491925687,-0.226963222,0.999982417,0.889196575,0.476592004,-0.247275189,0.999990642,0.886679411,0.470548123,-0.247291595,0.999993205,0.883531988,0.463878155,-0.247129798,0.99999404,0.883381963,0.481543779,-0.072004385,0.999948382,0.865815639,0.448261917,-0.159480259,0.999989271,0.863234043,0.515815616,-0.189243093,0.999947608,0.857806504,0.505503058,-0.214408234,0.999967456,0.755198061,0.485041022,0.139849007,0.998298705,0.790118277,0.524674237,-0.2187334,0.999885559,0.723113239,0.64617908,0.172555745,0.19740966,0.781340003,0.717306972,-0.234498322,0.995838523,0.741681457,0.753297865,0.081652887,0.26815483,0.790012896,0.894225299,-0.188485503,0.986337066,0.759632945,0.750038385,0.076366678,0.296009332,0.820906579,0.911439121,-0.235450491,0.974376559,0.765667677,0.74608624,0.040857371,0.296885729,0.825408041,0.902216077,-0.1987333,0.970301092,0.759016395,0.750112176,0.06363263,0.293189079,0.81278187,0.897478163,-0.174434066,0.958850682,0.530232549,0.576864481,0.099863164,0.990843236,0.540919304,0.62727195,-0.100013569,0.996316075,0.370706469,0.67800492,0.1792382,0.383530229,0.364719838,0.73237139,-0.020252798,0.928364635,0.216590121,0.733724475,0.276051074,0.582323015,0.207783565,0.764256775,0.048972357,0.954236805,0.178804964,0.716636717,0.283355594,0.687665224,0.161758095,0.749351799,0.051397968,0.955302954,0.220778331,0.803963482,0.245899916,0.690618217,0.212048888,0.843633711,-0.011086913,0.922931015
6,0.902265012,0.504514396,-0.251981497,0.999994457,0.915962815,0.489692211,-0.225944906,0.999986291,0.916693449,0.491769403,-0.225928605,0.999983191,0.917463481,0.493680596,-0.225970536,0.999982357,0.911526382,0.477620542,-0.247445494,0.999990702,0.908456504,0.47102946,-0.247460052,0.999993205,0.904813528,0.46393925,-0.247292563,0.99999404,0.904298782,0.482669979,-0.071567975,0.999948144,0.885884821,0.447997808,-0.16206257,0.999989331,0.885955095,0.518106163,-0.187979594,0.999947906,0.877611995,0.505588412,-0.214409411,0.999967754,0.777076542,0.485524476,0.140346557,0.998335302,0.807228565,0.523004591,-0.224765778,0.999888599,0.742512941,0.639073431,0.174086839,0.189394072,0.785967708,0.716367841,-0.247004166,0.99593091,0.74300158,0.752924442,0.084962934,0.258124501,0.790010035,0.89395082,-0.211867362,0.986094773,0.760011971,0.750418186,0.077834599,0.287615001,0.819737375,0.911254346,-0.261629701,0.973977029,0.766191006,0.74707979,0.038404107,0.288501441,0.824512839,0.902117431,-0.229903102,0.969892144,0.759216607,0.750674367,0.065301731,0.285280257,0.812297523,0.897291124,-0.2003939,0.958245099,0.549628496,0.578531146,0.105833434,0.990797162,0.557705402,0.62747699,-0.105989017,0.996300697,0.386035323,0.678513944,0.181012765,0.392979205,0.378496289,0.730592251,-0.026308205,0.932123899,0.228213802,0.733305871,0.275658339,0.599293709,0.210909531,0.762919307,0.034499414,0.956956446,0.192314535,0.707115114,0.28245309,0.699991763,0.17192094,0.744822741,0.035281237,0.956998944,0.238050997,0.804129958,0.244616732,0.703926206,0.214342952,0.841697574,-0.034827676,0.926757455
7,0.882911146,0.53436166,-0.22551173,0.999993622,0.896321416,0.519591749,-0.201019779,0.999984503,0.89646548,0.520931959,-0.201007709,0.999981284,0.896588743,0.52191627,-0.201044381,0.99998033,0.89343971,0.507707715,-0.230009869,0.99998939,0.890897334,0.500695467,-0.230044499,0.999992311,0.887898684,0.493134499,-0.229935408,0.999993265,0.883819699,0.505752206,-0.051166426,0.999944389,0.870714903,0.471817911,-0.167381182,0.999988198,0.864516079,0.544962287,-0.162859529,0.999942362,0.859664619,0.532160044,-0.19968012,0.999964476,0.757183909,0.493238598,0.151960894,0.99831301,0.786401808,0.527354062,-0.230799332,0.999882877,0.724710166,0.65151155,0.200349525,0.190288559,0.776207328,0.717001915,-0.265935451,0.995910645,0.74473834,0.755210996,0.131589994,0.259291083,0.789646268,0.893812478,-0.222777933,0.985823929,0.761868298,0.750308037,0.135173455,0.287111402,0.81981653,0.911014795,-0.269851655,0.973416746,0.767221868,0.747055233,0.101980276,0.287677795,0.824680388,0.901915967,-0.234021321,0.969184399,0.760723293,0.750742733,0.115358084,0.283880532,0.81231451,0.897193611,-0.208962083,0.957013726,0.528670609,0.57639575,0.106406793,0.990733922,0.535841167,0.624637723,-0.106513053,0.996220052,0.360346407,0.678673148,0.178018972,0.391132623,0.354627699,0.729261696,-0.035198893,0.932872236,0.208059356,0.73383671,0.2692734,0.599036694,0.19010675,0.763097048,0.034062766,0.957403719,0.166192502,0.718807995,0.275306702,0.699385822,0.147450626,0.745752096,0.035741448,0.957085073,0.207911938,0.807548642,0.226489589,0.705579281,0.204685226,0.840567648,-0.036955513,0.92778945
8,0.883437812,0.537357688,-0.219422221,0.999993742,0.896811903,0.521680713,-0.194682479,0.999984801,0.896982133,0.522331357,-0.194653362,0.999981701,0.897111714,0.522589326,-0.194667459,0.999980688,0.89385426,0.511172056,-0.224806771,0.999989629,0.891377866,0.504687309,-0.224838823,0.99999249,0.888458431,0.497795194,-0.224715784,0.999993443,0.884200454,0.505420148,-0.041357957,0.99994576,0.871173203,0.476797223,-0.168152422,0.999988616,0.864990354,0.546182573,-0.155457348,0.999943674,0.860297978,0.535031438,-0.194185942,0.999965668,0.756126046,0.493223161,0.16718407,0.998366356,0.788532853,0.527701795,-0.232548043,0.999887764,0.724752963,0.653459489,0.202260539,0.19783558,0.777134061,0.718032241,-0.270717233,0.99600327,0.746661901,0.762476861,0.130756035,0.272163868,0.789688051,0.893713772,-0.22905235,0.986061633,0.763511717,0.754860163,0.13320002,0.296551794,0.819927514,0.910966277,-0.278614849,0.973707139,0.768300772,0.752159715,0.097892173,0.296943188,0.824693799,0.901866138,-0.240275607,0.969484329,0.762312591,0.759102404,0.113643266,0.29197669,0.812419713,0.897131979,-0.214308962,0.957260907,0.529533565,0.578274488,0.108963788,0.990903914,0.538188636,0.624408245,-0.109034158,0.996289611,0.362483889,0.678831875,0.174806625,0.402700275,0.358211249,0.734619319,-0.051852781,0.936412573,0.2051429,0.733123839,0.264824539,0.613186002,0.193413615,0.763877928,0.01234714,0.959674299,0.166803315,0.717636406,0.270417124,0.708322942,0.151030496,0.746340513,0.012788309,0.958422065,0.202990696,0.807987273,0.218243212,0.717769384,0.191185951,0.839858592,-0.06681551,0.931436121
9,0.908426285,0.534538627,-0.256190211,0.999993742,0.921455503,0.520007968,-0.227843449,0.999984622,0.92180562,0.521676779,-0.227842152,0.999981463,0.922138691,0.522968054,-0.227886841,0.99998033,0.918386519,0.507897913,-0.256116688,0.999989569,0.915783823,0.50091815,-0.256151855,0.99999249,0.912528396,0.493444443,-0.256019264,0.999993443,0.910034001,0.508878827,-0.064195663,0.999944508,0.894586265,0.473228157,-0.187732562,0.999988675,0.891402066,0.545419693,-0.189609692,0.999943197,0.884466648,0.531254351,-0.225500286,0.999965966,0.781697094,0.504681945,0.141944423,0.9983657,0.799296796,0.526221991,-0.247905955,0.999887884,0.736473441,0.652903259,0.193435103,0.190556362,0.777784884,0.718121648,-0.273858637,0.996061325,0.748145938,0.761548102,0.099093623,0.267103881,0.789697111,0.893670499,-0.241802871,0.986156762,0.763707757,0.755610704,0.090653136,0.293787032,0.819919586,0.910708606,-0.293306828,0.973951876,0.768806696,0.753390968,0.051386919,0.294688404,0.824662805,0.901570559,-0.26326707,0.969908118,0.763469398,0.761125028,0.078856774,0.288998395,0.812307954,0.89650476,-0.231158346,0.957734942,0.548502624,0.591537356,0.110458307,0.990989625,0.547279656,0.624544799,-0.110556096,0.996350288,0.384962499,0.690909803,0.193655938,0.426371366,0.378194571,0.735862494,-0.044067018,0.940799832,0.222902149,0.730158269,0.297608852,0.637063682,0.209247708,0.763305604,0.042672824,0.962531745,0.19458665,0.709002078,0.304946303,0.724160552,0.179710209,0.736756206,0.04596239,0.960256398,0.216040015,0.803568661,0.262879401,0.735037208,0.195875734,0.838860631,-0.029186312,0.935779691
10,0.90537107,0.543154597,-0.23663716,0.999993384,0.917998672,0.528376818,-0.209830165,0.999983609,0.918143511,0.529670894,-0.209818125,0.99998039,0.918310463,0.530668199,-0.209845841,0.999979258,0.915722072,0.516758442,-0.240923494,0.999988914,0.913457513,0.509387374,-0.240955025,0.999992013,0.910643816,0.50132513,-0.240831673,0.999993026,0.907833338,0.516547322,-0.053223208,0.999941647,0.894223452,0.481672019,-0.18263334,0.999988079,0.886690557,0.553222477,-0.172682151,0.999941051,0.880460083,0.538518786,-0.212947845,0.999965191,0.780021012,0.503917158,0.14495112,0.998364389,0.798814297,0.527822316,-0.243364438,0.999886572,0.730527937,0.656194091,0.193349972,0.193367153,0.777718484,0.716123521,-0.274011344,0.996078253,0.747720242,0.762172401,0.09775497,0.273368508,0.789676011,0.891953409,-0.24352099,0.986050725,0.763524711,0.755599678,0.090889327,0.298682719,0.819922924,0.90978384,-0.293769628,0.973675191,0.768818021,0.753337324,0.053037133,0.299419135,0.824665248,0.901398361,-0.259193212,0.969573617,0.763293028,0.760245323,0.078346983,0.292861432,0.81229347,0.896121264,-0.230756328,0.957115412,0.5475263,0.589929044,0.110044532,0.990891278,0.547676921,0.624445736,-0.110142253,0.996306002,0.384309053,0.690579474,0.18066898,0.43367219,0.377582192,0.736598492,-0.047751505,0.943298101,0.221153483,0.730143785,0.275037646,0.648261368,0.207707122,0.763714731,0.02353864,0.96422267,0.193168119,0.709253907,0.280636489,0.730719686,0.17661117,0.737855017,0.024735589,0.960943282,0.214725345,0.810927272,0.228059769,0.743903637,0.195849717,0.837124646,-0.056477834,0.938324034
